ax,ay,az,gx,gy,gz,type
-1524.0,2332.0,-18144.0,-1909.0,-1931.0,1621.0,handsover
1464.0,-1424.0,-12360.0,1290.0,-4221.0,251.0,handsover
19968.0,-7760.0,-23520.0,32767.0,32767.0,15454.0,handsover
6768.0,1820.0,16972.0,3072.0,-517.0,5688.0,handsover
9916.0,-2924.0,-5432.0,-11698.0,-32768.0,7319.0,handsover
3224.0,544.0,-15224.0,3944.0,-3040.0,3089.0,handsover
20912.0,-11612.0,-22716.0,32767.0,32767.0,12096.0,handsover
4648.0,-1476.0,15808.0,806.0,821.0,2466.0,handsover
5004.0,1504.0,8204.0,-11239.0,-32768.0,-1623.0,handsover
7236.0,548.0,-12396.0,-1502.0,-4812.0,-13296.0,handsover
192.0,3168.0,-17476.0,517.0,4962.0,9840.0,handsover
1936.0,1988.0,-1164.0,15578.0,32767.0,-3627.0,handsover
9272.0,1676.0,12032.0,-2064.0,-6783.0,-3808.0,handsover
17612.0,-928.0,-23376.0,-24785.0,-32768.0,10016.0,handsover
2304.0,1120.0,-15768.0,105.0,-1400.0,-12501.0,handsover
17972.0,-3560.0,-21360.0,27680.0,32767.0,15317.0,handsover
4472.0,40.0,18284.0,-998.0,2892.0,5068.0,handsover
7132.0,-512.0,3560.0,-12614.0,-31618.0,436.0,handsover
8740.0,-4908.0,-16824.0,-2229.0,-17123.0,3846.0,handsover
148.0,7684.0,-21600.0,3412.0,8296.0,-3050.0,handsover
9224.0,-4196.0,-6356.0,13056.0,32767.0,-14740.0,handsover
14372.0,-2468.0,9276.0,-900.0,-4184.0,192.0,handsover
13376.0,-980.0,-23044.0,-28349.0,-32768.0,-11679.0,handsover
1244.0,612.0,-13840.0,2191.0,5414.0,-8861.0,handsover
12632.0,-2664.0,-11324.0,16866.0,28826.0,9933.0,handsover
5320.0,5600.0,10744.0,2861.0,5989.0,-4520.0,handsover
10516.0,2044.0,9620.0,-5060.0,-4667.0,839.0,handsover
16484.0,148.0,-27976.0,-22829.0,-32768.0,-3916.0,handsover
900.0,2092.0,-15632.0,-179.0,7254.0,-6915.0,handsover
7372.0,-2596.0,-13732.0,24089.0,32767.0,-21317.0,handsover
12192.0,-1544.0,10856.0,-1213.0,-5307.0,-202.0,handsover
2752.0,-1028.0,4944.0,-12941.0,-32768.0,5501.0,handsover
4100.0,-232.0,-16100.0,-4695.0,-7943.0,-8372.0,handsover
3356.0,3564.0,-18316.0,1565.0,7691.0,-4676.0,handsover
9808.0,2624.0,-11488.0,-481.0,-250.0,13.0,handsside
9860.0,2572.0,-11632.0,-378.0,103.0,-374.0,handsside
9612.0,2812.0,-11244.0,-571.0,-172.0,-10.0,handsside
9576.0,2868.0,-11536.0,-322.0,66.0,206.0,handsside
9612.0,3064.0,-11600.0,-168.0,-58.0,-161.0,handsside
9988.0,2708.0,-11616.0,-198.0,-38.0,136.0,handsside
9656.0,2788.0,-11552.0,-318.0,-123.0,-10.0,handsside
9628.0,2880.0,-11596.0,218.0,-124.0,555.0,handsside
